portal_id,name,mana,kind,attack,health,ev_attack,ev_health,skill,ev_skill,flavor,ev_flavor,type_,class_,rarity,cv,card_pack,image_path,ev_image_path,eval_roatation,eval_unlimited
100011010,ゴブリン,1,follower,1.0,2.0,3.0,4.0,,,まぁ、見た目はちっとばかし驚くが、中身は大したことはねぇ。所詮は魔族の下っ端だし、力もなけりゃ、知恵もねぇな。…だが、凶暴な所には気を付けた方がいいぜ。,多少なりとも心得のある者なら、恐れる必要もねぇ、三下の魔物だ。とはいえ、武装してる奴らには注意しろよ。ちっぽけな小剣だって、当たりゃあ血はでるんだからな。,-,ニュートラル,ブロンズレア,後藤ヒロキ,ベーシック,./img_follower/100011010.jpeg,./img_follower_evo/100011010.jpeg,8.5,8.5
104011030,ワイズマーマン,1,follower,1.0,1.0,3.0,3.0,ファンファーレ 自分の他のニュートラル・フォロワー1体を+1/+0する。,,魚人でありながら、人を襲うことはせず、磯にて穏やかに佇む。時たま人に知恵を与えることから、人々は彼を『海の賢者』と呼んでいた。,人の未来を担う器を持つ者が姿を現せば、彼は知識を授ける。それを身に付けた者が、次なる時代の賢者となるのだ。,-,ニュートラル,ブロンズレア,KENN,TOG,./img_follower/104011030.jpeg,./img_follower_evo/104011030.jpeg,-,7.0
110011020,堅牢なる天使,1,follower,1.0,1.0,3.0,3.0,守護 ファンファーレ エンハンス 4； +2/+2する。,守護 ,豪奢なる天門も、荘厳なる神殿も、全ては彼の手が造りしもの。言わば天界とは彼の庭であり、彼が護るべき作品群なのである。,振るわれる鎚の音は、まるで祝福の鐘。引き寄せられた天使が一人、賑やかな歌を奏でる。「リンゴンリンゴーン！」「……いつもながら、うるさい」,-,ニュートラル,ブロンズレア,井上雄貴,OOT,./img_follower/110011020.jpeg,./img_follower_evo/110011020.jpeg,-,6.0
100111010,ウォーターフェアリー,1,follower,1.0,1.0,3.0,3.0,ラストワード フェアリー1枚を手札に加える。,ラストワード フェアリー1枚を手札に加える。,妖精はとっても寂しがり屋だから、いつでも友達と一緒ナノ！ワタシに痛いことしたら、ワタシの友達がぷんぷんしちゃうノ！,ワタシにイタイコトする人は、悪い人ナノ！悪い人はみんなに言いつけちゃうノ！でも、仲良くしてくれるなら、妖精はニンゲンの味方ナノ！,-,エルフ,ブロンズレア,辻あゆみ,ベーシック,./img_follower/100111010.jpeg,./img_follower_evo/100111010.jpeg,8.5,8.5
101111010,ベビーエルフ・メイ,1,follower,1.0,1.0,3.0,3.0,ファンファーレ ランダムな相手のフォロワー1体に1ダメージ。,,自然と共に生きるコトが、エルフ族の決まりなの。でも、オトナになれば外の世界に出ていいんだって。すっごく待ち遠しいの！,故郷の森はだーいすきだけど…外の世界も知りたいんだ。だから、あのね…冒険に出ようかなって思うの！もう立派なオトナだし…大丈夫だよね？,-,エルフ,ブロンズレア,門脇舞以,CLC,./img_follower/101111010.jpeg,./img_follower_evo/101111010.jpeg,-,8.5
101111020,ブレイブフェアリー,1,follower,1.0,1.0,3.0,3.0,守護 ,守護 ,森を魔の手から守るために、私は戦う！もう二度と…仲間の命は奪わせない！,もう泣くのはやめたの！力が無くても、私は戦える！勇気があれば何でもできる！妖精の盾よ…私に力を貸して！,-,エルフ,ブロンズレア,緒乃冬華,CLC,./img_follower/101111020.jpeg,./img_follower_evo/101111020.jpeg,-,4.0
103111050,ベビーフェルパー,1,follower,1.0,1.0,3.0,3.0,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、+1/+1する。,,見て見て！こんな高いところまで登れるようになったの！このままいっぱいオトナになるの！,もっとオトナになったら、森の外に出るの！それでそれで、立派なねこむすめになるのー！,-,エルフ,ブロンズレア,金田朋子,ROB,./img_follower/103111050.jpeg,./img_follower_evo/103111050.jpeg,-,6.0
110141020,ロイヤルクリスタリア・ティア,1,follower,1.0,1.0,3.0,3.0,ファンファーレ このターン中に（このカードを含めず）カードを2枚以上プレイしていたなら、クリスタリア・イヴ1枚を手札に加え、そのコストを3にする。4枚以上プレイしていたなら、コストを3にするのではなく、1にする。,,雪嵐の果て、氷山の彼方。再びこの地に来るだなんて、貴方は物好きね。……ほんの少しだけ、気に入ったわ。私が力を貸してあげる。,氷晶の力は永遠のもの。貴方との邂逅は刹那に過ぎない。だけど、一瞬でもこの胸を暖めるなら……貴方はきっと、私にとって必要なもの。,-,エルフ,レジェンド,大亀あすか,OOT,./img_follower/110141020.jpeg,./img_follower_evo/110141020.jpeg,-,7.5
111111030,アーボリスト・ライラ,1,follower,1.0,1.0,3.0,3.0,ファンファーレ 攻撃力4以上の自分の他のフォロワー1体を+1/+1する。エンハンス 4； 1体ではなく、（攻撃力にかかわらず）自分の他のフォロワーすべてを+1/+1する。,,森は命、生きてるんです。だからこうやって診てあげて、癒してあげる。人には医者、森にはアーボリストです！,若いトレントさんは、上手く意思を伝えられないんです。でも、私だったらちゃーんと言葉が分かる…………って、ひゃあ！？む、虫ぃ！？お願い！あっち行ってくださいー！,-,エルフ,ブロンズレア,高橋美佳子,ALT,./img_follower/111111030.jpeg,./img_follower_evo/111111030.jpeg,-,8.0
112111030,機械ミノムシ,1,follower,1.0,1.0,3.0,3.0,ファンファーレ ターン終了まで、手札の機械・カード（機械ミノムシを除く）1枚のコストを-1する。,,核による変質の発端は、小さな虫だった。枝の代わりに鋼を、葉の代わりに鉄を身に纏う事で、何者にも傷つけられない強靭さを得ているのだ。――ある研究者のレポート・１,この森、何かおかしいんだ。今日なんて、小さな虫が俺の放った矢を弾いたんだ。金属でカチコチになった虫なんて、初めて見たよ。――ある森に関する取材記録・１,機械,エルフ,ブロンズレア,-,STR,./img_follower/112111030.jpeg,./img_follower_evo/112111030.jpeg,9.0,8.0
